"Date";"Open";"High";"Low";"Close";"Change, %"
"2009-04-20";"13.0676";"13.435";"12.986";"13.4155";"+2.14"
"2009-04-21";"13.4115";"13.448";"12.9495";"13.17";"-1.83"
"2009-04-22";"13.1525";"13.2515";"13.0575";"13.25";"+0.61"
"2009-04-23";"13.255";"13.3618";"13.1525";"13.17";"-0.60"
"2009-04-24";"13.176";"13.3585";"13.0585";"13.3365";"+1.26"
"2009-04-27";"13.4815";"14.0825";"13.4815";"14.0425";"+5.29"
"2009-04-28";"14.0525";"14.1375";"13.7769";"13.8093";"-1.66"
"2009-04-29";"13.7515";"13.872";"13.5325";"13.7413";"-0.49"
"2009-04-30";"13.735";"13.9774";"13.672";"13.8388";"+0.71"
"2009-05-01";"13.8574";"13.9175";"13.7696";"13.8025";"-0.26"
"2009-05-04";"13.745";"13.831";"13.1884";"13.23";"-4.15"
"2009-05-05";"13.221";"13.3025";"13.1258";"13.28";"+0.38"
"2009-05-06";"13.2925";"13.3225";"13.1035";"13.125";"-1.17"
"2009-05-07";"13.1045";"13.247";"12.94";"13.16";"+0.27"
"2009-05-08";"13.1791";"13.1932";"13.0097";"13.0191";"-1.07"
"2009-05-11";"13.0274";"13.2925";"12.992";"13.2565";"+1.82"
"2009-05-12";"13.245";"13.3";"13.0975";"13.2263";"-0.23"
"2009-05-13";"13.2112";"13.395";"13.1612";"13.3425";"+0.88"
"2009-05-14";"13.3384";"13.387";"13.1825";"13.2125";"-0.97"
"2009-05-15";"13.2377";"13.3128";"13.168";"13.2675";"+0.42"
"2009-05-18";"13.2264";"13.2865";"12.9704";"13.0265";"-1.82"
"2009-05-19";"13.0265";"13.039";"12.8933";"12.9563";"-0.54"
"2009-05-20";"12.942";"13.0338";"12.816";"13.015";"+0.45"
"2009-05-21";"13.0185";"13.2023";"12.984";"13.1238";"+0.84"
"2009-05-22";"13.13";"13.221";"13.0854";"13.189";"+0.50"
"2009-05-25";"13.185";"13.2165";"13.0795";"13.1425";"-0.35"
"2009-05-26";"13.13";"13.25";"13.088";"13.17";"+0.21"
"2009-05-27";"13.151";"13.276";"13.1048";"13.27";"+0.76"
"2009-05-28";"13.2676";"13.2812";"13.1702";"13.2153";"-0.41"
"2009-05-29";"13.2025";"13.2225";"13.0338";"13.1325";"-0.63"
"2009-06-01";"13.1162";"13.2512";"12.9849";"13.2438";"+0.85"
"2009-06-02";"13.2535";"13.3139";"13.1455";"13.1723";"-0.54"
"2009-06-03";"13.1715";"13.3894";"13.15";"13.3385";"+1.26"
"2009-06-04";"13.326";"13.3835";"13.1575";"13.212";"-0.95"
"2009-06-05";"13.171";"13.3133";"13.1016";"13.3011";"+0.67"
"2009-06-08";"13.2414";"13.509";"13.2313";"13.4555";"+1.16"
"2009-06-09";"13.4505";"13.6215";"13.3792";"13.6081";"+1.13"
"2009-06-10";"13.6121";"13.719";"13.5262";"13.6";"-0.06"
"2009-06-11";"13.5715";"13.6775";"13.3125";"13.375";"-1.65"
"2009-06-12";"13.3661";"13.451";"13.359";"13.4058";"+0.23"
"2009-06-15";"13.3666";"13.5577";"13.3575";"13.3718";"-0.25"
"2009-06-16";"13.379";"13.506";"13.283";"13.4838";"+0.84"
"2009-06-17";"13.477";"13.5265";"13.34";"13.4528";"-0.23"
"2009-06-18";"13.4276";"13.475";"13.332";"13.395";"-0.43"
"2009-06-19";"13.3825";"13.4188";"13.2361";"13.3521";"-0.32"
"2009-06-22";"13.3609";"13.4748";"13.251";"13.305";"-0.35"
"2009-06-23";"13.2865";"13.3988";"13.2311";"13.3355";"+0.23"
"2009-06-24";"13.3445";"13.3525";"13.24";"13.2853";"-0.38"
"2009-06-25";"13.2975";"13.299";"13.1775";"13.2188";"-0.50"
"2009-06-26";"13.231";"13.255";"13.124";"13.2";"-0.14"
"2009-06-29";"13.2084";"13.2773";"13.14";"13.1805";"-0.15"
"2009-06-30";"13.177";"13.2053";"13.106";"13.187";"+0.05"
"2009-07-01";"13.1785";"13.1915";"13.0495";"13.125";"-0.47"
"2009-07-02";"13.15";"13.2867";"13.1035";"13.232";"+0.82"
"2009-07-03";"13.2686";"13.2835";"13.2";"13.22";"-0.09"
"2009-07-06";"13.2123";"13.3805";"13.2123";"13.2345";"+0.11"
"2009-07-07";"13.2325";"13.4145";"13.187";"13.41";"+1.33"
"2009-07-08";"13.4095";"13.6411";"13.378";"13.5255";"+0.86"
"2009-07-09";"13.5275";"13.633";"13.455";"13.5475";"+0.16"
"2009-07-10";"13.5558";"13.751";"13.518";"13.6888";"+1.04"
"2009-07-13";"13.6575";"13.847";"13.6575";"13.7145";"+0.19"
"2009-07-14";"13.7035";"13.833";"13.636";"13.733";"+0.13"
"2009-07-15";"13.7295";"13.7493";"13.516";"13.555";"-1.30"
"2009-07-16";"13.541";"13.641";"13.496";"13.5513";"-0.03"
"2009-07-17";"13.5433";"13.649";"13.3148";"13.3362";"-1.59"
"2009-07-20";"13.335";"13.364";"13.1925";"13.29";"-0.35"
"2009-07-21";"13.2922";"13.3741";"13.191";"13.3138";"+0.18"
"2009-07-22";"13.321";"13.346";"13.211";"13.25";"-0.48"
"2009-07-23";"13.2225";"13.2585";"13.1376";"13.245";"-0.04"
"2009-07-24";"13.2505";"13.2525";"13.1545";"13.205";"-0.30"
"2009-07-27";"13.1999";"13.2973";"13.1337";"13.2673";"+0.47"
"2009-07-28";"13.2785";"13.3185";"13.1895";"13.2125";"-0.41"
"2009-07-29";"13.2037";"13.3055";"13.1945";"13.2645";"+0.39"
"2009-07-30";"13.268";"13.284";"13.1795";"13.2575";"-0.05"
"2009-07-31";"13.236";"13.2627";"13.145";"13.174";"-0.63"
"2009-08-03";"13.2003";"13.2212";"13.0814";"13.1096";"-0.49"
"2009-08-04";"13.1035";"13.1737";"13.085";"13.13";"+0.16"
"2009-08-05";"13.1195";"13.1635";"12.9952";"13.0389";"-0.69"
"2009-08-06";"13.0319";"13.0743";"12.9329";"13.0435";"+0.04"
"2009-08-07";"13.021";"13.072";"12.8938";"12.956";"-0.67"
"2009-08-10";"12.9725";"12.9735";"12.864";"12.93";"-0.20"
"2009-08-11";"12.9288";"13.0537";"12.9005";"13.0215";"+0.71"
"2009-08-12";"13.0207";"13.1536";"12.9422";"12.955";"-0.51"
"2009-08-13";"12.9451";"12.9613";"12.7606";"12.864";"-0.70"
"2009-08-14";"12.8575";"12.9032";"12.7995";"12.8425";"-0.17"
"2009-08-17";"12.8564";"13.0785";"12.8554";"13.022";"+1.40"
"2009-08-18";"13.0228";"13.035";"12.9185";"12.9255";"-0.74"
"2009-08-19";"12.9115";"12.991";"12.8494";"12.8823";"-0.33"
"2009-08-20";"12.8762";"12.8995";"12.82";"12.8875";"+0.04"
"2009-08-21";"12.8785";"12.9135";"12.7797";"12.8325";"-0.43"
"2009-08-24";"12.7801";"12.941";"12.7612";"12.9275";"+0.74"
"2009-08-25";"12.9225";"13.01";"12.8376";"13.0075";"+0.62"
"2009-08-26";"13.0135";"13.205";"12.9817";"13.15";"+1.10"
"2009-08-27";"13.1643";"13.297";"13.1329";"13.2372";"+0.66"
"2009-08-28";"13.2267";"13.3018";"13.1693";"13.2553";"+0.14"
"2009-08-31";"13.2215";"13.368";"13.2205";"13.3623";"+0.81"
"2009-09-01";"13.3545";"13.6865";"13.3287";"13.678";"+2.36"
"2009-09-02";"13.6418";"13.7905";"13.558";"13.655";"-0.17"
"2009-09-03";"13.6377";"13.655";"13.499";"13.5375";"-0.86"
"2009-09-04";"13.5675";"13.62";"13.395";"13.4";"-1.02"
"2009-09-07";"13.389";"13.4225";"13.34";"13.355";"-0.34"
"2009-09-08";"13.351";"13.376";"13.238";"13.3565";"+0.01"
"2009-09-09";"13.3628";"13.4897";"13.3123";"13.4612";"+0.78"
"2009-09-10";"13.455";"13.5468";"13.3575";"13.368";"-0.69"
"2009-09-11";"13.406";"13.4458";"13.3185";"13.346";"-0.16"
"2009-09-14";"13.31";"13.534";"13.3063";"13.3655";"+0.15"
"2009-09-15";"13.3762";"13.3896";"13.2538";"13.2984";"-0.50"
"2009-09-16";"13.287";"13.3118";"13.1422";"13.1847";"-0.85"
"2009-09-17";"13.1764";"13.2933";"13.1382";"13.2733";"+0.67"
"2009-09-18";"13.279";"13.3015";"13.194";"13.281";"+0.06"
"2009-09-21";"13.2635";"13.41";"13.2029";"13.3853";"+0.79"
"2009-09-22";"13.3785";"13.409";"13.2615";"13.353";"-0.24"
"2009-09-23";"13.327";"13.4312";"13.255";"13.3728";"+0.15"
"2009-09-24";"13.375";"13.5555";"13.3255";"13.5115";"+1.04"
"2009-09-25";"13.5093";"13.613";"13.453";"13.5665";"+0.41"
"2009-09-28";"13.5395";"13.6075";"13.4745";"13.534";"-0.24"
"2009-09-29";"13.5452";"13.5947";"13.5053";"13.529";"-0.04"
"2009-09-30";"13.53";"13.5505";"13.4556";"13.501";"-0.21"
"2009-10-01";"13.4885";"13.7845";"13.4838";"13.7653";"+1.96"
"2009-10-02";"13.7572";"13.82";"13.5925";"13.6055";"-1.16"
"2009-10-05";"13.6045";"13.688";"13.5835";"13.6147";"+0.07"
"2009-10-06";"13.6132";"13.6202";"13.4459";"13.474";"-1.03"
"2009-10-07";"13.466";"13.5338";"13.3485";"13.3708";"-0.77"
"2009-10-08";"13.3783";"13.392";"13.204";"13.2495";"-0.91"
"2009-10-09";"13.24";"13.33";"13.2119";"13.2768";"+0.21"
"2009-10-12";"13.3068";"13.3277";"13.2018";"13.2297";"-0.35"
"2009-10-13";"13.21";"13.2475";"13.0997";"13.1118";"-0.89"
"2009-10-14";"13.1137";"13.1241";"13.0252";"13.0684";"-0.33"
"2009-10-15";"13.0762";"13.1406";"13.0477";"13.1";"+0.24"
"2009-10-16";"13.0842";"13.184";"13.0383";"13.104";"+0.03"
"2009-10-19";"13.0727";"13.1236";"12.931";"12.939";"-1.26"
"2009-10-20";"12.9365";"13.073";"12.7911";"13.038";"+0.77"
"2009-10-21";"13.0386";"13.0902";"12.8753";"12.9354";"-0.79"
"2009-10-22";"12.933";"13.0225";"12.8731";"12.89";"-0.35"
"2009-10-23";"12.8941";"13.0995";"12.8628";"13.0885";"+1.54"
"2009-10-26";"13.0454";"13.2987";"13.0236";"13.2917";"+1.55"
"2009-10-27";"13.2941";"13.3755";"13.21";"13.22";"-0.54"
"2009-10-28";"13.2282";"13.3369";"13.2224";"13.322";"+0.77"
"2009-10-29";"13.315";"13.3476";"12.981";"13.0738";"-1.86"
"2009-10-30";"13.0756";"13.2474";"12.9824";"13.22";"+1.12"
"2009-11-02";"13.2057";"13.3187";"13.0682";"13.2212";"+0.01"
"2009-11-03";"13.201";"13.4044";"13.19";"13.2675";"+0.35"
"2009-11-04";"13.2565";"13.3278";"13.2058";"13.2951";"+0.21"
"2009-11-05";"13.2937";"13.3896";"13.2289";"13.2983";"+0.02"
"2009-11-06";"13.2968";"13.4445";"13.2595";"13.4155";"+0.88"
"2009-11-09";"13.3521";"13.4431";"13.2356";"13.2698";"-1.09"
"2009-11-10";"13.2752";"13.3489";"13.1885";"13.2124";"-0.43"
"2009-11-11";"13.2089";"13.2163";"13.1037";"13.1638";"-0.37"
"2009-11-12";"13.1485";"13.268";"13.1195";"13.184";"+0.15"
"2009-11-13";"13.1945";"13.2075";"13.0113";"13.015";"-1.28"
"2009-11-16";"13.0155";"13.0504";"12.9475";"12.9923";"-0.17"
"2009-11-17";"12.9971";"13.1335";"12.9469";"13.0348";"+0.33"
"2009-11-18";"13.0408";"13.0839";"12.949";"13.0015";"-0.26"
"2009-11-19";"12.9956";"13.0883";"12.986";"13.0363";"+0.27"
"2009-11-20";"13.0658";"13.1266";"13.0316";"13.076";"+0.30"
"2009-11-23";"13.0345";"13.1144";"12.839";"12.9735";"-0.78"
"2009-11-24";"12.9625";"13.0248";"12.8679";"12.8882";"-0.66"
"2009-11-25";"12.8965";"12.9095";"12.7866";"12.8365";"-0.40"
"2009-11-26";"12.8528";"13.0571";"12.8322";"13.0087";"+1.34"
"2009-11-27";"12.972";"13.0972";"12.859";"12.9325";"-0.59"
"2009-11-30";"12.8835";"12.9839";"12.85";"12.936";"+0.03"
"2009-12-01";"12.9309";"12.9453";"12.815";"12.85";"-0.66"
"2009-12-02";"12.8584";"12.8737";"12.7112";"12.7263";"-0.96"
"2009-12-03";"12.719";"12.7245";"12.5555";"12.6125";"-0.89"
"2009-12-04";"12.6412";"12.7045";"12.4882";"12.6387";"+0.21"
"2009-12-07";"12.6285";"12.7368";"12.5827";"12.6888";"+0.40"
"2009-12-08";"12.6715";"12.988";"12.6485";"12.9221";"+1.84"
"2009-12-09";"12.9197";"13.0245";"12.8459";"12.9065";"-0.12"
"2009-12-10";"12.9033";"13.0124";"12.857";"12.9335";"+0.21"
"2009-12-11";"12.9465";"12.9539";"12.825";"12.8745";"-0.46"
"2009-12-14";"12.832";"12.9353";"12.729";"12.7432";"-1.02"
"2009-12-15";"12.7365";"12.825";"12.6491";"12.695";"-0.38"
"2009-12-16";"12.696";"12.7475";"12.6545";"12.6965";"+0.01"
"2009-12-17";"12.7145";"12.9967";"12.6965";"12.8562";"+1.26"
"2009-12-18";"12.8555";"12.9542";"12.8118";"12.8258";"-0.24"
"2009-12-21";"12.831";"12.9644";"12.7826";"12.9445";"+0.93"
"2009-12-22";"12.9265";"12.9746";"12.871";"12.899";"-0.35"
"2009-12-23";"12.8899";"12.9328";"12.8425";"12.9013";"+0.02"
"2009-12-24";"12.915";"12.925";"12.8595";"12.887";"-0.11"
"2009-12-25";"12.911";"12.911";"12.884";"12.893";"+0.05"
"2009-12-28";"12.8509";"13.0926";"12.8156";"13.015";"+0.95"
"2009-12-29";"13.048";"13.098";"12.9522";"13.0025";"-0.10"
"2009-12-30";"12.9925";"13.1015";"12.9903";"13.092";"+0.69"
"2009-12-31";"13.0653";"13.1447";"13.0395";"13.0636";"-0.22"
"2010-01-01";"13.1075";"13.1263";"13.0957";"13.0957";"+0.25"
"2010-01-04";"13.07";"13.071";"12.8638";"12.8795";"-1.65"
"2010-01-05";"12.8821";"12.8933";"12.769";"12.8169";"-0.49"
"2010-01-06";"12.809";"12.8475";"12.7155";"12.7363";"-0.63"
"2010-01-07";"12.7295";"12.7995";"12.7124";"12.7948";"+0.46"
"2010-01-08";"12.7892";"12.8093";"12.6762";"12.7007";"-0.74"
"2010-01-11";"12.6541";"12.7875";"12.5669";"12.733";"+0.25"
"2010-01-12";"12.7357";"12.8193";"12.6889";"12.7953";"+0.49"
"2010-01-13";"12.8075";"12.8235";"12.696";"12.708";"-0.68"
"2010-01-14";"12.7115";"12.7793";"12.6613";"12.665";"-0.34"
"2010-01-15";"12.6651";"12.7385";"12.653";"12.7028";"+0.30"
"2010-01-18";"12.6775";"12.732";"12.6402";"12.6553";"-0.37"
"2010-01-19";"12.6551";"12.744";"12.6162";"12.64";"-0.12"
"2010-01-20";"12.6414";"12.7858";"12.6303";"12.7492";"+0.86"
"2010-01-21";"12.7637";"12.9692";"12.6848";"12.9424";"+1.52"
"2010-01-22";"12.9524";"13.0158";"12.9015";"12.9913";"+0.38"
"2010-01-25";"12.9429";"12.954";"12.8447";"12.8682";"-0.95"
"2010-01-26";"12.8619";"12.9787";"12.7999";"12.8682";"0.00"
"2010-01-27";"12.875";"13.014";"12.8142";"12.968";"+0.78"
"2010-01-28";"12.9622";"13.086";"12.8839";"13.0743";"+0.82"
"2010-01-29";"13.0633";"13.105";"12.942";"13.099";"+0.19"
"2010-02-01";"13.073";"13.0957";"12.8685";"12.8807";"-1.67"
"2010-02-02";"12.8965";"12.9387";"12.8365";"12.8749";"-0.05"
"2010-02-03";"12.8676";"12.9784";"12.8194";"12.953";"+0.61"
"2010-02-04";"12.9563";"13.138";"12.9337";"13.1337";"+1.40"
"2010-02-05";"13.1639";"13.2529";"13.0985";"13.1445";"+0.08"
"2010-02-08";"13.1626";"13.2471";"13.1087";"13.2119";"+0.51"
"2010-02-09";"13.2065";"13.2325";"13.021";"13.038";"-1.32"
"2010-02-10";"13.013";"13.1308";"12.9662";"13.13";"+0.71"
"2010-02-11";"13.1371";"13.1375";"12.9306";"12.9452";"-1.41"
"2010-02-12";"12.939";"13.0599";"12.9168";"12.9363";"-0.07"
"2010-02-15";"12.92";"12.9806";"12.908";"12.9315";"-0.04"
"2010-02-16";"12.928";"12.9413";"12.8262";"12.8388";"-0.72"
"2010-02-17";"12.84";"12.9123";"12.8028";"12.8818";"+0.33"
"2010-02-18";"12.8842";"12.905";"12.8056";"12.8185";"-0.49"
"2010-02-19";"12.8588";"12.9297";"12.7848";"12.8062";"-0.10"
"2010-02-22";"12.787";"12.8266";"12.7428";"12.807";"+0.01"
"2010-02-23";"12.8054";"12.9351";"12.7604";"12.9191";"+0.88"
"2010-02-24";"12.925";"12.9365";"12.802";"12.8095";"-0.85"
"2010-02-25";"12.8095";"12.8961";"12.7845";"12.7955";"-0.11"
"2010-02-26";"12.7968";"12.818";"12.7301";"12.7733";"-0.17"
"2010-03-01";"12.7642";"12.776";"12.7151";"12.7455";"-0.22"
"2010-03-02";"12.741";"12.7628";"12.6905";"12.7423";"-0.03"
"2010-03-03";"12.7295";"12.746";"12.675";"12.6965";"-0.36"
"2010-03-04";"12.6945";"12.7325";"12.681";"12.7075";"+0.09"
